7655,1,2053,1000
7655,0,2117,1000
5267,1,2033,1000
5267,0,2171,1000
9104,1,1835,1000
9104,0,1755,1000
2761,1,1947,1000
2761,0,1745,1000
5568,1,2121,1000
5568,0,2197,1000
7572,1,1999,1000
7572,0,1783,1000
6708,1,2067,1000
6708,0,2165,1000
6046,1,2113,1000
6046,0,2125,1000
6585,1,1909,1000
6585,0,1845,1000
3818,1,2117,1000
3818,0,1803,1000
5087,1,1587,5000
5087,0,2241,5000
8547,1,1757,5000
8547,0,1855,5000
4607,1,1887,5000
4607,0,1899,5000
7881,1,1907,5000
7881,0,1743,5000
5197,1,1915,5000
5197,0,1679,5000
3939,1,1751,5000
3939,0,1799,5000
2108,1,1911,5000
2108,0,1855,5000
7923,1,2151,5000
7923,0,1559,5000
2080,1,1815,5000
2080,0,1911,5000
2375,1,1773,5000
2375,0,1905,5000
3469,1,1877,10000
3469,0,1695,10000
3516,1,1651,10000
3516,0,1973,10000
7985,1,1833,10000
7985,0,1719,10000
809,1,1867,10000
809,0,1693,10000
4369,1,1791,10000
4369,0,1753,10000
8476,1,1771,10000
8476,0,1669,10000
1168,1,1995,10000
1168,0,1541,10000
549,1,1807,10000
549,0,1685,10000
7651,1,2077,10000
7651,0,1703,10000
3902,1,1801,10000
3902,0,1799,10000
