8607,1,1363,1000
8607,0,1405,1000
5038,1,1865,1000
5038,0,1789,1000
9141,1,1165,1000
9141,0,1157,1000
3591,1,1283,1000
3591,0,1479,1000
387,1,1975,1000
387,0,1985,1000
4957,1,1059,1000
4957,0,1039,1000
6317,1,1687,1000
6317,0,1717,1000
244,1,1837,1000
244,0,1917,1000
1853,1,1973,1000
1853,0,1837,1000
9318,1,1567,1000
9318,0,1547,1000
4960,1,1407,5000
4960,0,1605,5000
8710,1,1481,5000
8710,0,1427,5000
3466,1,1419,5000
3466,0,1489,5000
9910,1,1589,5000
9910,0,1499,5000
5909,1,1689,5000
5909,0,1415,5000
925,1,1577,5000
925,0,1593,5000
2070,1,1649,5000
2070,0,1755,5000
2890,1,1735,5000
2890,0,1609,5000
2286,1,1707,5000
2286,0,1683,5000
2459,1,1277,5000
2459,0,1293,5000
3810,1,1215,10000
3810,0,1435,10000
4717,1,1571,10000
4717,0,1465,10000
2114,1,1455,10000
2114,0,1595,10000
984,1,1237,10000
984,0,1237,10000
7345,1,1087,10000
7345,0,1133,10000
5595,1,1215,10000
5595,0,1201,10000
5861,1,1403,10000
5861,0,1327,10000
3839,1,1313,10000
3839,0,1251,10000
2176,1,1535,10000
2176,0,1467,10000
3435,1,1541,10000
3435,0,1491,10000
