2369.0,1.0,983.0,10000.0,0.01,3.0,50.0,0.1
2369.0,0.0,935.0,10000.0,0.01,3.0,50.0,0.1
4381.0,1.0,975.0,10000.0,0.01,3.0,50.0,0.1
4381.0,0.0,925.0,10000.0,0.01,3.0,50.0,0.1
6255.0,1.0,1005.0,10000.0,0.01,3.0,50.0,0.1
6255.0,0.0,853.0,10000.0,0.01,3.0,50.0,0.1
5905.0,1.0,563.0,10000.0,0.01,3.0,50.0,0.2
5905.0,0.0,621.0,10000.0,0.01,3.0,50.0,0.2
2149.0,1.0,707.0,10000.0,0.01,3.0,50.0,0.2
2149.0,0.0,641.0,10000.0,0.01,3.0,50.0,0.2
9518.0,1.0,645.0,10000.0,0.01,3.0,50.0,0.2
9518.0,0.0,591.0,10000.0,0.01,3.0,50.0,0.2
9876.0,1.0,607.0,10000.0,0.01,3.0,50.0,0.3
9876.0,0.0,531.0,10000.0,0.01,3.0,50.0,0.3
7078.0,1.0,583.0,10000.0,0.01,3.0,50.0,0.3
7078.0,0.0,509.0,10000.0,0.01,3.0,50.0,0.3
1553.0,1.0,645.0,10000.0,0.01,3.0,50.0,0.3
1553.0,0.0,541.0,10000.0,0.01,3.0,50.0,0.3
9484.0,1.0,523.0,10000.0,0.01,3.0,50.0,0.4
9484.0,0.0,677.0,10000.0,0.01,3.0,50.0,0.4
4391.0,1.0,573.0,10000.0,0.01,3.0,50.0,0.4
4391.0,0.0,553.0,10000.0,0.01,3.0,50.0,0.4
9012.0,1.0,505.0,10000.0,0.01,3.0,50.0,0.4
9012.0,0.0,511.0,10000.0,0.01,3.0,50.0,0.4
2512.0,1.0,461.0,10000.0,0.01,3.0,50.0,0.5
2512.0,0.0,535.0,10000.0,0.01,3.0,50.0,0.5
3379.0,1.0,557.0,10000.0,0.01,3.0,50.0,0.5
3379.0,0.0,555.0,10000.0,0.01,3.0,50.0,0.5
8195.0,1.0,521.0,10000.0,0.01,3.0,50.0,0.5
8195.0,0.0,529.0,10000.0,0.01,3.0,50.0,0.5
